 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 1 0 0 0
 3 1 0 0 0
 4 1 0 1 1
 5 1 0 1 1
 6 1 0 1 1
 7 1 0 1 1
 8 1 0 1 1
 9 1 0 2 1
 10 1 0 2 1
 11 1 0 3 1
 12 1 0 3 1
 13 1 0 3 1
 14 1 0 3 1
 15 1 0 3 1
 16 1 0 4 1
 17 2 0 4 1
 18 3 0 4 1
 19 3 0 4 1
 20 3 0 4 1
 21 3 0 5 1
 22 3 0 5 1
 23 3 0 5 1
 24 3 0 5 1
 25 3 0 5 1
 26 3 0 5 1
 27 3 0 5 1
 28 3 0 5 1
 29 3 0 5 1
 30 3 0 5 1
 31 3 0 5 1
 32 3 0 5 1
 33 3 0 5 1
 34 3 0 6 1
 35 3 0 6 1
 36 3 0 6 1
 37 3 0 6 1
 38 3 0 6 1
 39 3 0 6 1
 40 3 0 6 1
 41 3 0 6 1
 42 3 0 6 1
 43 3 0 6 1
 44 3 0 6 1
 45 3 0 6 1
 46 3 0 6 1
 47 5 0 6 1
 48 6 0 6 1
 49 6 0 6 1
 50 6 0 6 1
 51 6 0 6 1
 52 6 0 6 1
 53 6 0 6 1
 54 6 0 6 1
 55 6 0 6 1
 56 6 0 6 1
 57 6 0 6 1
 58 6 0 6 1
 59 6 0 6 1
 60 6 0 6 1
 61 6 0 6 1
 62 6 0 6 1
 63 6 0 6 1
 64 6 0 6 1
 65 6 0 6 1
 66 6 0 6 1
 67 6 0 6 1
 68 6 0 6 1
 69 6 0 6 1
 70 6 0 6 1
 71 6 0 6 1
 72 6 0 6 1
 73 6 0 6 1
 74 6 0 6 1
 75 6 0 6 1
 76 6 0 6 1
 77 6 0 6 1
 78 6 0 6 1
 79 6 0 6 1
 80 6 0 6 1
 81 6 0 6 1
 82 6 0 6 1
 83 6 0 6 1
 84 6 0 6 1
 85 6 0 6 1
 86 6 0 6 1
 87 6 0 6 1
 88 6 0 6 1
 89 6 0 6 1
 90 6 0 6 1
 91 6 0 6 1
 92 6 0 6 1
 93 6 0 6 1
 94 6 0 6 1
 95 6 0 6 1
 96 6 0 6 1
 97 6 0 6 1
 98 6 0 6 1
 99 6 0 6 1
 100 6 0 6 1
