 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 0 0 1 0
 3 0 0 1 0
 4 0 0 1 0
 5 0 0 1 0
 6 0 0 1 0
 7 0 0 1 0
 8 0 0 1 0
 9 0 0 1 0
 10 0 0 1 0
 11 0 0 1 0
 12 0 0 1 0
 13 0 0 1 0
 14 0 0 1 0
 15 0 0 1 0
 16 0 1 1 0
 17 0 1 1 0
 18 0 1 1 0
 19 0 1 1 0
 20 0 1 1 0
 21 0 1 1 0
 22 0 1 1 0
 23 0 1 1 0
 24 0 1 1 0
 25 0 1 1 0
 26 1 1 1 0
 27 1 1 1 0
 28 1 1 1 0
 29 1 1 1 0
 30 1 1 1 0
 31 1 1 1 0
 32 1 1 1 0
 33 1 1 1 0
 34 1 1 1 0
 35 1 1 1 0
 36 1 1 1 0
 37 1 1 1 0
 38 2 1 1 0
 39 2 1 1 0
 40 2 1 1 0
 41 2 1 1 0
 42 3 1 1 0
 43 3 2 1 0
 44 3 2 1 0
 45 3 2 1 0
 46 3 2 1 0
 47 3 2 1 0
 48 3 2 1 0
 49 3 2 1 0
 50 3 2 1 0
 51 3 2 1 0
 52 3 2 1 0
 53 3 2 1 0
 54 3 2 1 0
 55 3 2 1 0
 56 3 2 1 0
 57 3 2 1 0
 58 3 2 1 0
 59 3 2 1 0
 60 3 2 1 0
 61 3 2 1 0
 62 3 2 1 0
 63 3 2 1 0
 64 3 2 1 0
 65 5 2 1 0
 66 5 2 1 0
 67 6 2 1 0
 68 6 2 1 0
 69 6 2 1 0
 70 6 2 1 0
 71 6 2 1 0
 72 6 2 1 0
 73 6 2 1 0
 74 6 2 1 0
 75 6 2 1 0
 76 6 2 1 0
 77 6 2 1 0
 78 6 2 1 0
 79 6 2 1 0
 80 6 2 1 0
 81 6 2 1 0
 82 6 2 1 0
 83 6 2 1 0
 84 7 2 1 0
 85 7 2 1 0
 86 7 2 1 0
 87 7 2 1 0
 88 7 2 1 0
 89 7 2 1 0
 90 8 2 1 0
 91 8 2 1 0
 92 8 2 1 0
 93 9 2 1 0
 94 9 2 1 0
 95 9 2 1 0
 96 9 2 1 0
 97 9 3 1 0
 98 9 3 1 0
 99 9 3 1 0
 100 9 3 1 0
